TBx,TBy,TBz,TDx,TDy,TDz,TTx,TTy,TTz,ULx,ULy,ULz,LLx,LLy,LLz,JWx,JWy,JWz,vTTx,vTTy,vTTz,vTDx,vTDy,vTDz,vTBx,vTBy,vTBz,vULx,vULy,vULz,vLLx,vLLy,vLLz,vJWx,vJWy,vJWz
-38.30894212,-52.04291727,5.457694296,-37.05366384,-60.75353317,10.79374771,-36.18351098,-73.76480922,17.96837091,-39.92922691,-68.3198791,37.58016592,-38.02984377,-85.57047124,33.92962228,-35.07871317,-97.92234877,25.05562278,-2.440298322,-21.53159498,2.312711989,-1.728326989,-11.99380388,16.93065402,-4.306662618,-0.163029813,20.32744448,2.192988301,-1.569670601,1.588189561,3.348542689,-0.240352746,6.07683823,-2.373754685,-3.489757386,5.011788892
-38.32616877,-52.04356939,5.539004074,-37.06057714,-60.80150838,10.86147033,-36.19327217,-73.8509356,17.97762176,-39.92045496,-68.32615779,37.58651868,-38.0164496,-85.57143266,33.95392963,-35.08820819,-97.9363078,25.07566994,-2.65185273,-21.38654574,1.21354131,-1.493850161,-11.49213108,16.80613335,-3.466415014,-0.093691072,19.03335716,3.063220142,-1.383153936,1.809995819,2.018623052,0.325128532,6.87527845,-1.240656534,-2.928767921,5.621036335
-38.34003443,-52.04394415,5.615137502,-37.06655255,-60.84747691,10.92869486,-36.20387958,-73.93648178,17.98247592,-39.90820208,-68.3316904,37.59375867,-38.00837511,-85.57013214,33.98143075,-35.09317082,-97.94802287,25.09815408,-2.816623952,-20.89568093,0.172604232,-1.047107488,-10.77351797,16.803421,-2.854181133,-0.040816727,17.97128908,3.832311219,-1.041664886,1.85948866,0.55836518,0.948753053,7.200072448,0.307137469,-2.117721482,6.017390368
-38.35145115,-52.04410742,5.687022659,-37.07074098,-60.89057098,10.99590855,-36.21514608,-74.0200645,17.98316634,-39.89287283,-68.33585706,37.60119662,-38.00614165,-85.56633713,34.01023104,-35.09194227,-97.95649376,25.12222364,-2.895989563,-19.97191038,-0.624671711,-0.508343456,-9.918869057,16.78087001,-2.495198021,-0.004442238,17.07148611,4.486816872,-0.649122434,1.746566714,-0.79266351,1.776683665,7.118888326,2.042519257,-1.016423946,6.285794719
-38.36143195,-52.04412519,5.755308603,-37.07277435,-60.93024646,11.06303203,-36.22673003,-74.09995215,17.98066765,-39.87492556,-68.33845355,37.60818289,-38.0093123,-85.55923039,34.03870659,-35.08377219,-97.96055946,25.14736682,-2.857741041,-18.58611656,-1.018272929,0.000723386,-8.99127403,16.61939225,-2.380995136,0.007742686,16.25457712,5.033732024,-0.359462676,1.463280726,-1.812771805,2.931652861,6.812864129,3.684632679,0.404702905,6.591029777
-38.37095593,-52.04409422,5.820326912,-37.07277146,-60.96621155,11.1295096,-36.238161,-74.17429661,17.97659456,-39.85479064,-68.3398914,37.61403601,-38.01656339,-85.54750378,34.06595805,-35.06903366,-97.95894064,25.17373094,-2.685315773,-16.7721659,-0.918973967,0.393574197,-8.029299944,16.22755453,-2.476239476,-0.024814616,15.43636563,5.487938403,-0.355690541,0.981115309,-2.338523149,4.509195568,6.550020271,4.956261309,2.170711543,7.155630564
-38.38086088,-52.04419347,5.882072374,-37.07119716,-60.99832875,11.19441981,-36.24890226,-74.24138528,17.97291866,-39.83283888,-68.34131416,37.61796047,-38.02591748,-85.529467,34.09215813,-35.04920861,-97.9502578,25.20235346,-2.384779738,-14.62351362,-0.339316177,0.641951873,-7.054671062,15.53874936,-2.724888865,-0.131088389,14.53366388,5.862526749,-0.816250173,0.266853608,-2.297035326,6.590733589,6.638243279,5.641241455,4.309082757,8.227423553
-38.39176044,-52.04471783,5.94020703,-37.06862935,-61.02654744,11.25657481,-36.25844138,-74.29987933,17.9715614,-39.80938877,-68.34457917,37.61902789,-38.03510562,-85.50310407,34.1187111,-35.02664365,-97.93302147,25.23526316,-1.988320574,-12.2829216,0.59792517,0.778794806,-6.088477831,14.50576248,-3.054819312,-0.337032413,13.4711944,6.164626411,-1.876765736,-0.689641424,-1.724745586,9.266363719,7.371321883,5.62389362,6.85857472,10.04306548
-38.40397972,-52.04606596,5.994091807,-37.06551417,-61.05090135,11.31459786,-36.26639466,-74.34901102,17.9739531,-39.78473027,-68.35208623,37.61626932,-38.04200461,-85.46603861,34.14819639,-35.00414807,-97.90558717,25.27543542,-1.552677634,-9.925882227,1.676974219,0.88096552,-5.167008711,13.09831588,-3.382356173,-0.653442601,12.18930424,6.397447281,-3.599676207,-1.848791848,-0.768339483,12.65754904,8.983016069,4.898864825,9.878671778,12.79306642
-38.41750914,-52.04867973,6.042849024,-37.06199031,-61.07156938,11.36699112,-36.27260537,-74.38871455,17.980661,-39.75914048,-68.36648493,37.60887415,-38.04507796,-85.41540841,34.18412845,-34.98455261,-97.86607248,25.32660769,-1.150220189,-7.73774405,2.629317532,1.037923215,-4.348771542,11.30656903,-3.618932151,-1.069389516,10.65218225,6.566953833,-5.963888811,-3.109918879,0.334529843,16.93077327,11.61933897,3.55102967,13.4552806,16.59263371
-38.43198487,-52.05295729,6.085457753,-37.05783862,-61.08896447,11.4122174,-36.27720625,-74.41966552,17.99117827,-39.73287266,-68.39034049,37.59643448,-38.04373984,-85.34768532,34.23060581,-34.9703485,-97.81225136,25.39297822,-0.851303193,-5.885758583,3.188535661,1.316654264,-3.707754778,9.149856779,-3.680934649,-1.554108288,8.856222787,6.68947093,-8.880334889,-4.323889249,1.293470675,22.29591134,15.33067526,1.715916996,17.69707572,21.46177968
-38.44670861,-52.05917372,6.120882644,-37.052572,-61.10379549,11.44881683,-36.28061147,-74.44320856,18.00393241,-39.70611478,-68.42586183,37.57913892,-38.03856596,-85.25850168,34.29192851,-34.96348483,-97.74146306,25.47882534,-0.700204273,-4.490103602,3.146955532,1.734286626,-3.313313098,6.68709275,-3.501536923,-2.065881027,6.837682097,6.795519939,-12.22926498,-5.328641527,1.816077451,28.98603298,20.07758602,-0.463215486,22.71905475,27.31735696
-38.46071476,-52.06743724,6.148233373,-37.04563485,-61.11704874,11.4755652,-36.28341228,-74.46116897,18.01652023,-39.6789327,-68.47477889,37.55782435,-38.03130165,-85.14255754,34.37223885,-34.96533769,-97.65058684,25.58809477,-0.691965063,-3.600576392,2.400123915,2.247752262,-3.202747905,4.024099781,-3.04149442,-2.563801775,4.677501376,6.926093273,-15.90549101,-5.995983729,1.659855791,37.21819421,25.74097828,-2.866799373,28.61479182,33.97854636
-38.47288073,-52.07769245,6.166943378,-37.03664384,-61.12985973,11.4916616,-36.28618014,-74.47557128,18.02612073,-39.65122833,-68.53840085,37.53384042,-38.02466223,-84.99368477,34.47520277,-34.97680489,-97.53612767,25.72400895,-0.760363635,-3.186194069,0.9676281,2.765141456,-3.356890225,1.31315682,-2.295613545,-3.018552697,2.499410546,7.12037507,-19.8529234,-6.271783773,0.672398687,47.1379526,32.12968562,-5.410618977,35.42392176,41.18548597
